id,Name,description,iconCat
"673",Cuxhaven,Seenotrettungskreuzer ANNELIESE KRAMER<br>Liegeplatz: Fährhafen<br>27472 Cuxhaven<br>,
"671",Brunsbüttel,Seenotrettungsboot GILLIS GULLBRANSSON<br>Liegeplatz: am Leitwerk vor der Nordschleuse<br>25709 Brunsbüttel,
"405",Bremerhaven,"Seenotrettungskreuzer HERMANN RUDOLF MEYER<br>Liegeplatz: Alter Vorhafen, Höhe Lotsengebäude<br>27568 Bremerhaven",
"682",Fedderwardersiel,"Seenotrettungsboot EMIL ZIMMERMANN<br>Liegeplatz: Hafen, Westseite<br>26969 Fedderwardersiel",
"695",Wilhelmshaven,"Wilhelmshaven<br>Seenotrettungsboot PETER HABIG<br>Liegeplatz: Fluthafen, Helgolandkaje<br>26382 Wilhelmshaven",
"694",Hooksiel,"Seenotrettungskreuzer BERNHARD GRUBEN<br>Liegeplatz: Außenhafen, Zufahrt über Bäderstraße<br>26434 Hooksiel",
"425",Juist,"Seenotrettungsboot HANS DITTMER<br>Liegeplatz: Hafen, Nordkaje<br>26571 Juist",
"713",Norderney,Seenotrettungskreuzer EUGEN<br>Liegeplatz: Hafen<br>26548 Norderney,
"402",Baltrum,Seenotrettungsboot ELLI HOFFMANN-RÖSER<br>Liegeplatz: Hafen<br>26579 Baltrum,
"726",Langeoog,Seenotrettungsboot SECRETARIUS<br>Liegeplatz: Hafen<br>26465 Langeoog,
"717",Neuharlingersiel,"Seenotrettungsboot NEUHARLINGERSIEL<br>Liegeplatz:<br>Fischereihafen, Westseite<br>26427 Neuharlingersiel",
"698",Wangerooge,"Seenotrettungsboot FRITZ THIEME<br>Liegeplatz: Hafen, Ponton am Fähranleger<br>26486 Wangerooge",
"691",Deutsche Bucht/Helgoland,Seenotrettungskreuzer HERMANN MARWEDE<br>Liegeplatz: Südhafen/Ostdamm<br>27498 Deutsche Bucht/Helgoland,
"725",Horumersiel,"Seenotrettungsboot WOLFGANG PAUL LORENZ<br>Liegeplatz: Hafen, Wangersiel, Ponton an der Südseite<br>26434 Horumersiel",
"670",Büsum,"Seenotrettungskreuzer THEODOR STORM<br>Liegeplatz: Hafen-Westseite/ Badestrand, nahe der Schleuse<br>25761 Büsum",
"685",Eiderdamm,"Seenotrettungsboot PAUL NEISSE<br>Liegeplatz: Eidersperrwerk, Binnenhafen<br>25764 Eiderdamm",
"712",Nordstrand,"Seenotrettungskreuzer EISWETTE<br>Liegeplatz: Hafen Strucklahnungshörn, am Fähranleger nach Pellworm<br>25845 Nordstrand",
"715",Norddeich,Seenotrettungsboot OTTO DIERSCH<br>Liegeplatz: Westhafen<br>26506 Norddeich<br><br>https://www.seenotretter.de/wer-wir-sind/teams-stationen/ansicht/station/norddeich/,
"680",Amrum,Seenotrettungskreuzer ERNST MEIER-HEDDE<br>Liegeplatz: Seezeichenhafen Wittdün<br>25946 Amrum,
"696",Hörnrum,"Seenotrettungsboot HORST HEINER KNETEN<br>Liegeplatz: Ponton, Westkaje<br>25980 Hörnum",
"719",List,"Seenotrettungskreuzer PIDDER LÜNG<br>Liegeplatz: Hafen, Südmole<br>25992 List/Sylt",
"428",Langballigau,"Seenotrettungsboot WERNER KUNTZE<br>Liegeplatz: Hafensüdseite, Anlegebrücke<br>24977 Langballigau",
"690",Gelting,"Seenotrettungsboot URSULA DETTMANN<br>Liegeplatz: Sportboothafen Gelting-Mole, zwischen Niesgrau und<br>24395 Gelting",
"711",Olpenitz,Seenotrettungskreuzer FRITZ KNACK<br>Liegeplatz: Hafenpromenade 8e<br>24376 Kappeln-Olpenitz,
"718",Maasholm,"Seenotrettungsboot HELLMUT MANTHEY<br>Liegeplatz: Fischereihafen, Schumacherbrücke<br>24404 Maasholm",
"675",Damp,"Seenotrettungsboot NIMANOA<br>Liegeplatz: Niebymole, Hafensüdseite<br>24351 Damp",
"687",Eckernförde,Seenotrettungsboot ECKERNFÖRDE<br>Liegeplatz: Stadthafen an der Holzbrücke<br>24340 Eckernförde,
"704",Schleswig,"SRB 82<br>Liegeplatz: Stadthafen, Am Hafen 5<br>24837 Schleswig",
